Country,Type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Zambia,(A),1361.16,1748.28,1758.42,1596.36,1287.3,1579.98,1981.5,2307.72,3701.16,3523.5,5602.44,5980.32,7135.62,6019.98,6622.62,6176.16,3364.176,3688.422,2081.802,1693.02,790.698,671.334,322.17,645.162,156.666,221.34,799.086,1116.936,2056.95,872.568
Ghana,(R),2271.3,4578.36,2196.12,2722.86,3430.56,3391.68,1945.5,1636.5,3266.16,5334.066,4587.36,437.1,2017.938,1088.514,1086.834,742.494,1212.666,2079.864,1584.036,1116.51,4169.874,1803.75,1253.016,1504.446,2123.544,2139.288,1566.546,778.002,884.73,868.398
Trinidad & Tobago,(R),874.86,1067.52,859.68,964.74,1106.1,1057.74,1091.28,1163.52,1021.08,1013.4,983.58,969.9,993.144,965.802,907.41,891.744,701.886,728.094,685.164,684.414,621.522,669.462,733.632,733.452,720.078,707.382,707.466,720.054,799.188,701.46
Guyana,(R),0,0,0,0,0,0,0,0,358.866,305.256,172.308,315.378,312.078,325.512,363.366,420.864,454.776,517.044,592.332,550.602,548.598,611.304,584.298,776.472,558.042,673.386,577.956,595.698,599.07,570.354
Zimbabwe,(A),15114.06,12083.64,4669.44,696,6378.12,7838.64,10463.58,7811.58,8967,7529.058,6511.38,7262.52,6607.26,5498.94,7218.798,3955.794,2708.94,1874.646,1454.952,1282.098,605.154,531.384,439.248,518.49,900.744,857.016,907.098,408.114,592.716,544.704
Liberia,(R),180,180,180,300,300,300,300,300,1066.74,729.78,738.3,709.98,748.92,304.8,346.8,321.66,403.656,411.066,744.702,761.52,626.316,614.124,607.278,356.34,424.398,602.802,725.202,978.3,356.202,351
Congo,(R),175.44,180.18,190.26,180,455.1,705.3,831.6,196.2,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180.12,180,180,180.006,180.78,180.036
Nepal,(A),0,0,0,0,0,0,0,0,0,0,0,0,0,54,57,78,135,75.444,87.744,66.498,184.95,120.666,72.438,54.324,128.268,100.578,85.968,147.162,32.952,41.658
Gabon,(R),204.48,105.12,183.78,173.04,462.06,106.08,76.74,160.08,225.9,123.42,0,49.32,75,18,18,41.46,84.18,43.26,124.02,29.58,109.938,46.92,45.06,22.98,31.02,44.46,30,15.378,31.95,30
Equatorial Guinea,(R),212.16,153.06,101.16,0,191.58,108.42,67.2,100.14,62.16,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0.42,0
